                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.62079,                0.34479,                0.87864,                0.94678,                0.85862,                0.91668,                0.69101,                0.94014,                0.48819,                 1.0161,               0.002476,               0.002476,               0.002476
                     78,                0.61639,                  0.342,                0.87678,                0.88743,                0.89694,                0.91652,                0.69006,                0.93949,                0.48742,                 1.0166,               0.002377,               0.002377,               0.002377
                     79,                0.61322,                0.33717,                0.87615,                0.91886,                0.87831,                0.91879,                0.69418,                0.93932,                0.48731,                 1.0173,               0.002278,               0.002278,               0.002278
                     80,                0.61168,                0.33913,                0.87609,                0.93583,                0.88843,                0.92078,                0.69515,                0.94034,                 0.4877,                  1.018,               0.002179,               0.002179,               0.002179
                     81,                0.60035,                0.32929,                0.87335,                0.92691,                0.89528,                0.92127,                0.69534,                0.93957,                0.48555,                 1.0196,                0.00208,                0.00208,                0.00208
                     82,                  0.599,                0.33067,                0.87447,                0.92907,                0.89326,                0.92101,                0.69598,                0.93931,                0.48565,                 1.0207,               0.001981,               0.001981,               0.001981
                     83,                0.58805,                0.32367,                0.87094,                0.92957,                0.89352,                0.92206,                0.69714,                0.93938,                0.48684,                  1.022,               0.001882,               0.001882,               0.001882
                     84,                0.58371,                0.32301,                0.87142,                 0.9346,                0.89327,                0.92109,                0.69818,                0.93828,                0.48606,                 1.0227,               0.001783,               0.001783,               0.001783
                     85,                0.57399,                0.31498,                0.86913,                0.93753,                0.89333,                0.92069,                0.69801,                0.93771,                0.48598,                 1.0236,               0.001684,               0.001684,               0.001684
                     86,                 0.5737,                0.31803,                0.86756,                0.93778,                0.89288,                0.92057,                0.69834,                0.93766,                0.48609,                 1.0237,               0.001585,               0.001585,               0.001585
                     87,                0.56837,                0.31326,                 0.8663,                0.93783,                0.89324,                0.92014,                0.69867,                0.93773,                0.48625,                 1.0239,               0.001486,               0.001486,               0.001486
                     88,                0.56604,                 0.3114,                0.86597,                0.93786,                0.89223,                0.92046,                0.69923,                 0.9379,                0.48578,                 1.0242,               0.001387,               0.001387,               0.001387
                     89,                0.55242,                0.30642,                0.86205,                 0.9386,                0.89176,                0.92106,                0.69965,                0.93744,                0.48537,                 1.0246,               0.001288,               0.001288,               0.001288
                     90,                0.54833,                0.30405,                0.86136,                0.93962,                 0.8921,                0.92108,                0.69985,                0.93706,                0.48578,                 1.0251,               0.001189,               0.001189,               0.001189
                     91,                0.54791,                0.30406,                0.86286,                0.94129,                0.89095,                0.92127,                0.69908,                0.93718,                0.48517,                 1.0256,                0.00109,                0.00109,                0.00109
                     92,                 0.5391,                0.29813,                0.86064,                0.94177,                0.88973,                0.92167,                0.69937,                0.93653,                0.48635,                 1.0258,               0.000991,               0.000991,               0.000991
                     93,                0.53541,                0.29745,                0.86043,                0.94209,                0.89141,                0.92266,                0.69974,                0.93619,                0.48698,                 1.0259,               0.000892,               0.000892,               0.000892
                     94,                0.53102,                0.29459,                0.85802,                0.93792,                0.89166,                0.92293,                0.70061,                0.93597,                0.48739,                 1.0261,               0.000793,               0.000793,               0.000793
                     95,                0.52615,                0.29436,                0.85708,                0.93451,                0.88702,                0.92215,                0.69983,                0.93536,                0.48745,                 1.0263,               0.000694,               0.000694,               0.000694
                     96,                0.52069,                 0.2869,                0.85582,                0.93411,                0.88528,                0.92269,                0.70013,                 0.9349,                0.48772,                 1.0266,               0.000595,               0.000595,               0.000595
                     97,                0.51335,                0.28365,                 0.8545,                0.93458,                0.88468,                0.92321,                 0.7009,                0.93402,                0.48801,                 1.0265,               0.000496,               0.000496,               0.000496
                     98,                0.51448,                0.28301,                0.85426,                 0.9238,                0.89388,                0.92312,                0.70131,                0.93369,                 0.4882,                 1.0267,               0.000397,               0.000397,               0.000397
                     99,                0.50677,                0.27922,                0.85228,                0.92404,                 0.8938,                0.92366,                0.70112,                0.93322,                0.48822,                 1.0268,               0.000298,               0.000298,               0.000298
